INFO 2025-08-12 21:55:57,656 basehttp 7488 16444 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-12 21:57:22,940 basehttp 7488 8640 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-08-12 21:57:22,945 basehttp 7488 14836 "OPTIONS /api/orders/ HTTP/1.1" 200 0
WARNING 2025-08-12 21:57:23,255 log 7488 8640 Unauthorized: /api/orders/
WARNING 2025-08-12 21:57:23,258 log 7488 14836 Unauthorized: /api/orders/
WARNING 2025-08-12 21:57:23,260 basehttp 7488 8640 "GET /api/orders/ HTTP/1.1" 401 183
WARNING 2025-08-12 21:57:23,268 basehttp 7488 14836 "GET /api/orders/ HTTP/1.1" 401 183
INFO 2025-08-12 22:47:29,692 views 7488 15500 ProductViewSet.list called with params: <QueryDict: {'page_size': ['12']}>
INFO 2025-08-12 22:47:30,067 views 7488 15500 Successfully paginated 12 products
INFO 2025-08-12 22:47:30,329 basehttp 7488 15500 "GET /api/products/?page_size=12 HTTP/1.1" 200 19132
INFO 2025-08-12 22:47:30,671 views 7488 5944 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-12 22:47:30,769 views 7488 5944 Successfully returned 4 categories
INFO 2025-08-12 22:47:30,778 basehttp 7488 5944 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-12 22:48:08,497 basehttp 7488 332 "OPTIONS /api/orders/ HTTP/1.1" 200 0
WARNING 2025-08-12 22:48:08,860 log 7488 332 Unauthorized: /api/orders/
INFO 2025-08-12 22:48:08,861 basehttp 7488 5852 "OPTIONS /api/orders/ HTTP/1.1" 200 0
WARNING 2025-08-12 22:48:08,912 basehttp 7488 332 "GET /api/orders/ HTTP/1.1" 401 183
WARNING 2025-08-12 22:48:08,943 log 7488 5852 Unauthorized: /api/orders/
WARNING 2025-08-12 22:48:08,946 basehttp 7488 5852 "GET /api/orders/ HTTP/1.1" 401 183
INFO 2025-08-12 23:07:39,185 basehttp 7488 7280 "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-08-12 23:07:41,183 basehttp 7488 7280 "POST /api/token/ HTTP/1.1" 200 902
INFO 2025-08-12 23:07:44,816 basehttp 7488 7280 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-08-12 23:07:45,367 basehttp 7488 7280 "GET /api/orders/ HTTP/1.1" 200 944
INFO 2025-08-12 23:07:46,014 views 7488 17188 ProductViewSet.list called with params: <QueryDict: {'page_size': ['12']}>
INFO 2025-08-12 23:07:46,255 views 7488 17188 Successfully paginated 12 products
INFO 2025-08-12 23:07:46,590 basehttp 7488 17188 "GET /api/products/?page_size=12 HTTP/1.1" 200 19132
INFO 2025-08-12 23:07:47,243 views 7488 17012 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-12 23:07:47,339 views 7488 17012 Successfully returned 4 categories
